time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1715644800,150.35,141.79,147.47,1115060.66,162208938.64,141.97,direct,""
1715731200,158.82,141.25,141.97,1980437.1,299427734.34,158.57,direct,""
1715817600,164.72,156.7,158.57,1750109.58,281065543.63,159.34,direct,""
1715904000,172.05,159.34,159.34,1555327.37,259532219.44,169.5,direct,""
1715990400,175.96,168.73,169.5,920162.26,159001780,172.47,direct,""
1716076800,175.37,166.2,172.47,762244.06,130138876.56,169.94,direct,""
1716163200,188.29,167.76,169.94,1832806.48,331071378.03,186.75,direct,""
1716249600,188.83,174.32,186.75,1848219.23,332730791.56,178.15,direct,""
1716336000,183.39,175.03,178.15,1696007.5,304221794.85,176.86,direct,""
1716422400,180.9,165.8,176.86,2332480.33,406474519.47,176.09,direct,""
1716508800,176.09,162.5,176.09,1620585.84,272007690.18,167.7,direct,""
1716595200,170.46,165.96,167.7,676355.6,113562913.83,168.33,direct,""
1716681600,168.36,160.63,168.33,1519908.61,249394024.36,163.26,direct,""
1716768000,172.09,163.23,163.26,872094.57,146450327.09,170.01,direct,""
1716854400,173.07,164.8,170.01,1005203.81,169446311.48,168.53,direct,""
1716940800,173.75,167.07,168.53,1256094.22,212829822.96,168.11,direct,""
1717027200,172.51,163.52,168.11,1255495.65,211144284.39,166.86,direct,""
1717113600,170.84,163.8,166.86,1055671.13,175711518.79,165.52,direct,""
1717200000,167.79,165.5,165.52,366238.04,61117692.49,165.99,direct,""
1717286400,166.95,161.31,165.99,702823.99,115408279.8,163.04,direct,""
1717372800,167.14,161.54,163.04,1037787.02,171307507.3,164.89,direct,""
1717459200,171.87,164.37,164.89,927988.54,155617907.71,171.81,direct,""
1717545600,175.57,171.12,171.81,1051601.86,182343729.01,173.57,direct,""
1717632000,174.51,167.64,173.57,865751.05,148733043.79,170.07,direct,""
1717718400,172.64,153.73,170.07,1532446.36,252069522.56,162.48,direct,""
1717804800,163.73,157.36,162.48,602441.74,96680171.05,157.79,direct,""
1717891200,162.97,156.55,157.79,417124.57,66832383.3,162.1,direct,""
1717977600,163.19,157.46,162.1,576995.75,92352553.79,158.98,direct,""
1718064000,159.63,145.04,158.98,1809030.57,272469500.4,149.36,direct,""
1718150400,161.8,145.51,149.36,1434670.41,222556630.23,155.17,direct,""
1718236800,155.17,146,155.17,1056130.41,158045757.4,147.24,direct,""
1718323200,148.9,139.62,147.24,1454718.75,209841119.36,143.01,direct,""
1718409600,145.63,142.88,143.01,394805.22,57014807.71,145.45,direct,""
1718496000,151.21,143.01,145.45,507453.59,74700321.41,151.2,direct,""
